species,year,x,y,dens
Aporrectodea caliginosa,2001,-59.3734293775172,-34.4843014134211,167
Aporrectodea caliginosa,1995,-59.3556174438431,-34.542054289455,11
Aporrectodea caliginosa,2013,-58.8151660981227,-34.7562630056304,78
Aporrectodea caliginosa,2005,-59.6360679425438,-34.9131398117702,122
Aporrectodea caliginosa,2004,-59.2667606995818,-34.405073580539,22
Aporrectodea caliginosa,1999,-58.9609401529329,-34.8749615623606,106
Aporrectodea caliginosa,2011,-59.334991857938,-34.9773226254219,118
Aporrectodea caliginosa,2001,-59.4459649134642,-34.6766461933047,136
Aporrectodea caliginosa,1991,-58.8152493533415,-34.9167691579814,25
Aporrectodea caliginosa,2012,-59.0149446454771,-34.4697886127315,94
Aporrectodea caliginosa,1993,-58.9518581705313,-34.9905038284013,194
Aporrectodea caliginosa,2010,-59.7043537969022,-34.9610941158244,26
Aporrectodea caliginosa,1995,-59.3286396907463,-34.8659255587212,31
Aporrectodea caliginosa,1990,-59.7577998229372,-34.9283907682432,34
Aporrectodea caliginosa,2001,-59.0853733558042,-34.889417934557,102
Aporrectodea caliginosa,2011,-59.1431662580383,-35.1591783721693,154
Aporrectodea caliginosa,1996,-59.8163429132313,-34.5850897049518,146
Aporrectodea caliginosa,2009,-59.1503167879421,-34.4626350164704,171
Aporrectodea caliginosa,2001,-59.736858130558,-34.4195535296358,148
Aporrectodea caliginosa,1995,-59.7370424177504,-34.6163865081497,16
Aporrectodea caliginosa,1995,-59.3083345513323,-34.8209271118153,123
Aporrectodea caliginosa,1999,-59.1020017304642,-35.1749687637372,67
Aporrectodea caliginosa,2009,-59.0591187879755,-34.4739798414642,58
Aporrectodea caliginosa,2009,-58.9080560089695,-34.5908396121242,171
Aporrectodea caliginosa,2002,-59.5852903117465,-34.6371365285541,27
Aporrectodea caliginosa,2012,-59.8098948548225,-35.0339172317438,124
